Title,Body,Link,Date,Type,Combined_Text,PText,PTitle
25 last one month extra space storage room run,extra space storage saw trading around 170 end june 2022 fed started increasing rates trading 24 level,https://www.forbes.com/sites/greatspeculations/2023/12/01/up-25-in-the-last-one-month-does-extra-space-storage-stock-have-more-room-to-run/,"Fri, 01 Dec 2023 09:00:00 -0500",finance,25 last one month extra space storage room run extra space storage saw trading around 170 end june 2022 fed started increasing rates trading 24 level,"['25', 'last', 'one', 'month', 'extra', 'space', 'storage', 'room', 'run', 'extra', 'space', 'storage', 'saw', 'trading', 'around', '170', 'end', 'june', '2022', 'fed', 'started', 'increasing', 'rates', 'trading', '24', 'level']","['25', 'last', 'one', 'month', 'extra', 'space', 'storage', 'room', 'run']"
strong november could bode well strong december,,https://www.forbes.com/sites/jjkinahan/2023/12/01/a-strong-november-could-bode-well-for-a-strong-december/,"Fri, 01 Dec 2023 08:54:40 -0500",finance,strong november could bode well strong december ,"['strong', 'november', 'could', 'bode', 'well', 'strong', 'december']","['strong', 'november', 'could', 'bode', 'well', 'strong', 'december']"
20 gains month alaska air better pick american airlines,,https://www.forbes.com/sites/greatspeculations/2023/12/01/with-20-gains-this-month-is-alaska-air-a-better-pick-than-american-airlines-stock/,"Fri, 01 Dec 2023 08:00:00 -0500",finance,20 gains month alaska air better pick american airlines ,"['20', 'gains', 'month', 'alaska', 'air', 'better', 'pick', 'american', 'airlines']","['20', 'gains', 'month', 'alaska', 'air', 'better', 'pick', 'american', 'airlines']"
74 since beginning 2023 salesforce continue strong rally,,https://www.forbes.com/sites/greatspeculations/2023/12/01/up-74-since-the-beginning-of-2023-will-salesforce-stock-continue-its-strong-rally/,"Fri, 01 Dec 2023 07:00:00 -0500",finance,74 since beginning 2023 salesforce continue strong rally ,"['74', 'since', 'beginning', '2023', 'salesforce', 'continue', 'strong', 'rally']","['74', 'since', 'beginning', '2023', 'salesforce', 'continue', 'strong', 'rally']"
dow trade december,relative strengthseasonal cycle screening approach generated outperformance since 2020 top five long short sale prospects,https://www.forbes.com/sites/greatspeculations/2023/12/01/dow-stocks-to-trade-in-december/,"Fri, 01 Dec 2023 06:00:00 -0500",finance,dow trade december relative strengthseasonal cycle screening approach generated outperformance since 2020 top five long short sale prospects,"['dow', 'trade', 'december', 'relative', 'strengthseasonal', 'cycle', 'screening', 'approach', 'generated', 'outperformance', 'since', '2020', 'top', 'five', 'long', 'short', 'sale', 'prospects']","['dow', 'trade', 'december']"
disney 2x upside rises preinflation shock highs 202 per share,revenue missed estimates rising 5 yearoveryear 2124 billion adjusted earnings came better expected 082 per share,https://www.forbes.com/sites/greatspeculations/2023/12/01/disney-stock-has-2x-upside-if-it-rises-to-pre-inflation-shock-highs-of-202-per-share/,"Fri, 01 Dec 2023 06:00:00 -0500",finance,disney 2x upside rises preinflation shock highs 202 per share revenue missed estimates rising 5 yearoveryear 2124 billion adjusted earnings came better expected 082 per share,"['disney', '2x', 'upside', 'rises', 'preinflation', 'shock', 'highs', '202', 'per', 'share', 'revenue', 'missed', 'estimates', 'rising', '5', 'yearoveryear', '2124', 'billion', 'adjusted', 'earnings', 'came', 'better', 'expected', '082', 'per', 'share']","['disney', '2x', 'upside', 'rises', 'preinflation', 'shock', 'highs', '202', 'per', 'share']"
tencentbacked ai drug discovery startup xtalpi files hong kong ipo,,https://www.forbes.com/sites/zinnialee/2023/12/01/tencent-backed-ai-drug-discovery-startup-xtalpi-files-for-hong-kong-ipo/,"Fri, 01 Dec 2023 05:05:07 -0500",finance,tencentbacked ai drug discovery startup xtalpi files hong kong ipo ,"['tencentbacked', 'ai', 'drug', 'discovery', 'startup', 'xtalpi', 'files', 'hong', 'kong', 'ipo']","['tencentbacked', 'ai', 'drug', 'discovery', 'startup', 'xtalpi', 'files', 'hong', 'kong', 'ipo']"
opec switches saudi lollipop group fudge voluntary output cuts,skeptical crude oil market seeking another saudi lollipop got treated unedifying opec fudge instead group offered 22 mbpd voluntary cuts,https://www.forbes.com/sites/gauravsharma/2023/11/30/opec-switches-from-saudi-lollipop-to-a-group-fudge-of-voluntary-output-cuts/,"Thu, 30 Nov 2023 15:20:40 -0500",finance,opec switches saudi lollipop group fudge voluntary output cuts skeptical crude oil market seeking another saudi lollipop got treated unedifying opec fudge instead group offered 22 mbpd voluntary cuts,"['opec', 'switches', 'saudi', 'lollipop', 'group', 'fudge', 'voluntary', 'output', 'cuts', 'skeptical', 'crude', 'oil', 'market', 'seeking', 'another', 'saudi', 'lollipop', 'got', 'treated', 'unedifying', 'opec', 'fudge', 'instead', 'group', 'offered', '22', 'mbpd', 'voluntary', 'cuts']","['opec', 'switches', 'saudi', 'lollipop', 'group', 'fudge', 'voluntary', 'output', 'cuts']"
cop28s success depends aligning policies willingness pay,negotiations cop28 need incorporate honest valuation assessments associated transition tradeoffs cop28 time confront reality,https://www.forbes.com/sites/hershshefrin/2023/11/30/cop28s-success-depends-on-aligning-policies-with-willingness-to-pay/,"Thu, 30 Nov 2023 11:38:11 -0500",finance,cop28s success depends aligning policies willingness pay negotiations cop28 need incorporate honest valuation assessments associated transition tradeoffs cop28 time confront reality,"['cop28s', 'success', 'depends', 'aligning', 'policies', 'willingness', 'pay', 'negotiations', 'cop28', 'need', 'incorporate', 'honest', 'valuation', 'assessments', 'associated', 'transition', 'tradeoffs', 'cop28', 'time', 'confront', 'reality']","['cop28s', 'success', 'depends', 'aligning', 'policies', 'willingness', 'pay']"
4 glaring distortions driving todays economy market,,https://www.forbes.com/sites/danirvine/2023/11/30/4-glaring-distortions-driving-todays-economy-and-stock-market/,"Thu, 30 Nov 2023 11:32:35 -0500",finance,4 glaring distortions driving todays economy market ,"['4', 'glaring', 'distortions', 'driving', 'todays', 'economy', 'market']","['4', 'glaring', 'distortions', 'driving', 'todays', 'economy', 'market']"
feds pet inflation metric hits 2year low 35,though inflation remains well feds 2 target investors betting improving data support extended market rally,https://www.forbes.com/sites/dereksaul/2023/11/30/feds-pet-inflation-metric-hits-2-year-low-of-35/,"Thu, 30 Nov 2023 09:07:24 -0500",finance,feds pet inflation metric hits 2year low 35 though inflation remains well feds 2 target investors betting improving data support extended market rally,"['feds', 'pet', 'inflation', 'metric', 'hits', '2year', 'low', '35', 'though', 'inflation', 'remains', 'well', 'feds', '2', 'target', 'investors', 'betting', 'improving', 'data', 'support', 'extended', 'market', 'rally']","['feds', 'pet', 'inflation', 'metric', 'hits', '2year', 'low', '35']"
pick unilever 50,,https://www.forbes.com/sites/greatspeculations/2023/11/30/should-you-pick-unilever-stock-at-50/,"Thu, 30 Nov 2023 09:00:00 -0500",finance,pick unilever 50 ,"['pick', 'unilever', '50']","['pick', 'unilever', '50']"
jamie dimons somewhatsecret 74 dividend set soar,twoyear interest rate trend turn flips jpmorganchase ceo jamie dimons safe somewhatsecret 74 dividend directly benefit,https://www.forbes.com/sites/brettowens/2023/11/30/jamie-dimons-somewhat-secret-74-dividend-set-to-soar/,"Thu, 30 Nov 2023 08:45:00 -0500",finance,jamie dimons somewhatsecret 74 dividend set soar twoyear interest rate trend turn flips jpmorganchase ceo jamie dimons safe somewhatsecret 74 dividend directly benefit,"['jamie', 'dimons', 'somewhatsecret', '74', 'dividend', 'set', 'soar', 'twoyear', 'interest', 'rate', 'trend', 'turn', 'flips', 'jpmorganchase', 'ceo', 'jamie', 'dimons', 'safe', 'somewhatsecret', '74', 'dividend', 'directly', 'benefit']","['jamie', 'dimons', 'somewhatsecret', '74', 'dividend', 'set', 'soar']"
